"","Package","Version","install_source"
"1","base","3.5.1","R-install"
"2","boot","1.3-20","R-install"
"3","class","7.3-14","R-install"
"4","cluster","2.0.7-1","R-install"
"5","codetools","0.2-15","R-install"
"6","compiler","3.5.1","R-install"
"7","datasets","3.5.1","R-install"
"8","foreign","0.8-70","R-install"
"9","graphics","3.5.1","R-install"
"10","grDevices","3.5.1","R-install"
"11","grid","3.5.1","R-install"
"12","KernSmooth","2.23-15","R-install"
"13","lattice","0.20-35","R-install"
"14","MASS","7.3-50","R-install"
"15","Matrix","1.2-14","R-install"
"16","methods","3.5.1","R-install"
"17","mgcv","1.8-24","R-install"
"18","nlme","3.1-137","R-install"
"19","nnet","7.3-12","R-install"
"20","parallel","3.5.1","R-install"
"21","rpart","4.1-13","R-install"
"22","spatial","7.3-11","R-install"
"23","splines","3.5.1","R-install"
"24","stats","3.5.1","R-install"
"25","stats4","3.5.1","R-install"
"26","survival","2.42-3","R-install"
"27","tcltk","3.5.1","R-install"
"28","tools","3.5.1","R-install"
"29","translations","3.5.1","R-install"
"30","utils","3.5.1","R-install"
"31","memoise","1.1.0","Southwick-Install"
"32","packrat","0.4.9-3","Southwick-Install"
"33","RODBC","1.3-15","Southwick-Install"
"34","RSQLite","2.1.1","Southwick-Install"
"35","salic","1.4.1","Southwick-Install"
"36","assertthat","0.2.0","Southwick-Install"
"37","backports","1.1.2","Southwick-Install"
"38","base","3.5.1","Southwick-Install"
"39","base64enc","0.1-3","Southwick-Install"
"40","BH","1.66.0-1","Southwick-Install"
"41","bindr","0.1.1","Southwick-Install"
"42","bindrcpp","0.2.2","Southwick-Install"
"43","bit","1.1-14","Southwick-Install"
"44","bit64","0.9-7","Southwick-Install"
"45","bitops","1.0-6","Southwick-Install"
"46","blob","1.1.1","Southwick-Install"
"47","boot","1.3-20","Southwick-Install"
"48","broom","0.5.0","Southwick-Install"
"49","callr","2.0.4","Southwick-Install"
"50","caTools","1.17.1.1","Southwick-Install"
"51","cellranger","1.1.0","Southwick-Install"
"52","class","7.3-14","Southwick-Install"
"53","cli","1.0.0","Southwick-Install"
"54","clipr","0.4.1","Southwick-Install"
"55","cluster","2.0.7-1","Southwick-Install"
"56","codetools","0.2-15","Southwick-Install"
"57","colorspace","1.3-2","Southwick-Install"
